Asignatura,Codigo
COMBUSTION,0
INTRODUCCION A LA SIMULACION,1
INGENIERIA DE MANTENIMIENTO,2
EFICIENCIA ENERGETICA,3
TRATAMIENTO DE AGUAS,4
MANTENIMIENTO DE CAMINOS,5
EVALUACION DE PROYECTOS,6
DISEÑO GEOMETRICO VIAL,7
APLICACION DE MODELOS HIDRAULICOS,8
INTERPRETACION DE IMAGENES RADAR,9
DISEÑO Y COMPOS. DE MAPAS Y ATLAS,10
SISTEMAS DE CONTROL AUTOMATICO II,11
MECANICA DE FLUIDOS AVANZADOS ,12
INTRODUCCION A LA FISICA ATOMICA Y MOLECULAR,13
TRANSITORIOS,14
FUNDAMENTOS DE MEDIO DE RED,15
SIST.DE COMUNICACIONES CELULARES 1,16
MICROELECTRONICA,17
INSTRUMENTACION Y MEDICIONES ELECTRICAS,18
TELEVISION SOBRE IP,19
MANTENIMIENTO INDUSTRIAL,20
GESTION DE PROYECTOS,21
PROCESOS INDUSTRIALES II,22
TALLER DE PRACTICA PROFESIONAL EN GESTION,23
CALCULO 3,24
FISICA 4,25
CALCULO 4,26
DINAMICA,27
MECANICA DE MATERIALES 1,28
ESTRUCTURAS 1,29
GEOTECNIA 2,30
ESTRUCTURA METALICA Y DE MADERAS,31
HIDROTECNIA 1,32
TECNOLOGIA DEL HORMIGON,33
ESTRUCTURAS 3,34
CONSTRUCCIONES 1,35
INTRODUCCION  A LA INVESTIGACION,36
CONTABILIDAD,37
INSTALACION Y EQUIPAMIENTO DE EDIFICIOS ,38
VIAS DE COMUNICACION 2,39
SANEAMIENTO Y MEDIO AMBIENTE,40
HORMIGON ARMADO 2,41
FINANZAS,42
VIAS DE COMUNICACION 3,43
GESTION DE CALIDAD ,44
ADMINISTRACION DE EMPRESAS ,45
SEGURIDAD EN OBRAS,46
LEGISLACION,47
OBRAS FLUVIALES ,48
PUERTOS ,49
PUENTES,50
PASANTIAS ,51
TALLER DE PRACTICA PROFESIONAL ,52
ADMINISTRACION FINANCIERA  ,53
PASANTIAS,54
TECNOLOGIA DE LOS MATERIALES,55
CALCULO 5,56
ELEMENTOS DE MAQUINAS,57
ELECTRONICA BASICA,58
TECNOLOGIA MECANICA 1,59
TRANSFERENCIA DE CALOR,60
MEDICIONES E INSTRUMENTACION,61
SISTEMA DE CONTROL AUTOMATICO 1,62
INSTALACIONES INDUSTRIALES,63
DISTRIBUCION DE ENERGIA ELECTRICA,64
MAQUINAS TERMICAS 2,65
INSTALACIONES ELECTRICAS,66
MAQUINAS ELECTRICAS 2,67
INTRODUCCION A LA INVESTIGACION,68
ORGANIZACION INDUSTRIAL,69
HIGIENE Y SEGURIDAD INDUSTRIAL,70
FISICA DE SEMICONDUCTORES,71
PROCESAMIENTO ELECTRONICO DE DATOS 2 ,72
TEORIA DE CIRCUITOS 1,73
ELECTROMAGNETISMO,74
MAQUINAS ELECTRICAS,75
SISTEMA DE MODULACION 1,76
LT PARA TELECOMUNICACIONES,77
ELECTRONICA 2,78
DISEÑO LOGICO DIGITAL 2,79
SISTEMA DE CONTROL,80
SISTEMA DE TELEVISION 1,81
TELEFONIA 2,82
ANTENAS,83
SISTEMAS DIGITALES 2,84
MICROONDAS,85
ORGANIZACION DE EMPRESAS 1,86
SISTEMAS DE COMUNICACIONES 2,87
ELECTRONICA INDUSTRIAL,88
METODOS NUMERICOS,89
TOPOGRAFIA 1,90
FOTOGRAMETRIA 1,91
METODOLOGIA DE LA INVESTIGACION ,92
SENSORES REMOTOS 2,93
GEODESIA GEOMETRICA ,94
SOCIOLOGIA ,95
HIDROLOGIA GENERAL  E HIDRAULICA ,96
CARTOGRAFIA 2,97
LEVANTAMIENTO REGIONALES Y CATASTRALES ,98
ASTRONOMIA ,99
GEOMORFOLOGIA ,100
GEODESIA GRAVIMETRICA ,101
CONTABILIDAD Y ADM. FINANCIERA ,102
EVALUACION Y GESTION AMBIENTAL ,103
VIAS DE COMUNICACION ,104
AVALUO Y TASACION ,105
POLITICA Y LEGISLACION PROFESIONAL,106
MAQUINAS Y EQUIPOS PARA LA CONSTRUCCION,107
PROCESOS DE FABRICACION 1,108
METROLOGIA,109
MATERIALES 2,110
LABORATORIO MECANICO 1,111
TERMOTECNIA 2,112
MAQUINAS DE FLUJO ,113
INVESTIGACION OPERATIVA,114
TECNICA DE ENERGIAS ALTERNATIVAS,115
ECONOMIA Y EVALUACION DE PROYECTO,116
MANTENIMIENTO MECANICO,117
